region,tree_coverage,wealth_level
North East,10.43,3.8
North West,10.79,4.2
Yorkshire,9.8,4.9
West Midlands,13.13,5.1
East Midlands,11.08,5.4
East of England,12.8,6.3
London,14.2,6.5
South West,13.96,6.8
South East,17.0,7.2
